Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene,dMean,MeanRank,Outlier
4,3,23.54819095,23.50761469,0.043457248,uninjected_rep3,uninjected,4615/4616,znf_cds,exp,0.0016464328755874493,2,No
4,2,23.42049226,23.38170421,0.038729549,uninjected_rep2,uninjected,4615/4616,znf_cds,exp,0.001504512822802566,3,No
4,13,24.55194564,24.60528722,0.065065888,znf_3_rep1,znf_3,4615/4616,znf_cds,exp,0.002845324156896554,2,No
4,10,24.31016737,24.21443197,0.094100826,znf_2_rep1,znf_2,4615/4616,znf_cds,exp,0.00916526681315977,3,No
4,5,23.52985866,23.52657491,0.07025018,pcas13d_rep2,pcas13d,4615/4616,znf_cds,exp,1.0783014062485612e-5,1,No
4,4,23.52263018,23.42455028,0.089861683,pcas13d_rep1,pcas13d,4615/4616,znf_cds,exp,0.00961966678401037,3,No
4,11,24.17459079,24.18618922,0.059073852,znf_2_rep2,znf_2,4615/4616,znf_cds,exp,1.3452357846488566e-4,1,No
4,14,24.22703572,24.23387566,0.068053831,znf_3_rep2,znf_3,4615/4616,znf_cds,exp,4.678477920358618e-5,1,No
4,15,24.38178602,24.39320537,0.086906822,znf_3_rep3,znf_3,4615/4616,znf_cds,exp,1.3040155442251383e-4,1,No
4,1,23.49263048,23.46053077,0.065147407,uninjected_rep1,uninjected,4615/4616,znf_cds,exp,0.001030391382084143,1,No
